;Question;Answer;BT_Level
5601;upon what is portuguese agriculture based ?;agriculture in portugal is based on small to medium-sized family-owned dispersed units .;Knowledge
5602;what types of companies back more large scale , export-oriented agrobusinesses in portugal ?;however , the sector also includes larger scale intensive farming export-oriented agrobusinesses backed by companies ( like grupo rar 's vitacress , sovena , lactogal , vale da rosa , companhia das lezírias and valouro ) .;Knowledge
5603;what types of crops does portugal produce ?;the country produces a wide variety of crops and livestock products , including tomatoes , citrus , green vegetables , rice , corn , barley , olives , oilseeds , nuts , cherries , bilberry , table grapes , edible mushrooms , dairy products , poultry and beef .;Knowledge
5604;what types of livestock products does portugal produce ?;the country produces a wide variety of crops and livestock products , including tomatoes , citrus , green vegetables , rice , corn , barley , olives , oilseeds , nuts , cherries , bilberry , table grapes , edible mushrooms , dairy products , poultry and beef .;Knowledge
5605;which company is the world 's oldest canned fish producer ?;portuguese processed fish products are exported through several companies , under a number of different brands and registered trademarks , such as ramirez ( the world 's oldest active canned fish producer ) , bom petisco , nero , combate , comur , general , líder , manná , murtosa , pescador , pitéu , tenório , torreira and vasco da gama .;Knowledge
5606;what are the names of various companies that produce and export fish products ?;portuguese processed fish products are exported through several companies , under a number of different brands and registered trademarks , such as ramirez ( the world 's oldest active canned fish producer ) , bom petisco , nero , combate , comur , general , líder , manná , murtosa , pescador , pitéu , tenório , torreira and vasco da gama .;Knowledge
5607;what food does portugal have one of the highest rates of consumption of ?;traditionally a sea-power , portugal has had a strong tradition in the portuguese fishing sector and is one of the countries with the highest fish consumption per capita .;Knowledge
5608;what mineral is portugal ranked as a leading european producer of ?;portugal is a significant european minerals producer and is ranked among europe 's leading copper producers .;Analysis
5609;what are three types of minerals portugal is a notable producer of ?;the nation is also a notable producer of tin , tungsten and uranium .;Knowledge
5610;what type of exploration does portugal lack the potential for ?;however , the country lacks the potential to conduct hydrocarbon exploration and aluminium , a limitation that has hindered the development of portugal 's mining and metallurgy sectors .;Evaluation
5611;in which region does portugal have vast reserves of iron and coal ?;although the country has vast iron and coal reserves -- mainly in the north -- after the 1974 revolution and the consequent economic globalization , low competitiveness forced a decrease in the extraction activity for these minerals .;Knowledge
5612;what event triggered a decrease in the extraction of portugal 's natural resources ?;although the country has vast iron and coal reserves -- mainly in the north -- after the 1974 revolution and the consequent economic globalization , low competitiveness forced a decrease in the extraction activity for these minerals .;Knowledge
